                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.171,                 1.8665,                 1.6045,                0.55358,                0.50669,                0.51699,                0.24285,                 1.5782,                 2.6751,                 2.2797,             0.00065766,             0.00065766,             0.00065766
                      2,                 1.3066,                 1.6036,                 1.6918,                0.51007,                0.60023,                0.49735,                0.19981,                 1.8665,                 4.4977,                 2.9129,              0.0013112,              0.0013112,              0.0013112
                      3,                 1.3659,                 1.5132,                 1.7133,                0.31935,                0.50614,                0.29513,                0.10949,                 1.9718,                 2.6002,                 2.9433,              0.0019516,              0.0019516,              0.0019516
                      4,                 1.3538,                 1.4117,                 1.7078,                0.58775,                0.53863,                0.55184,                0.23506,                 1.8507,                  2.066,                 2.5817,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3387,                 1.3518,                 1.6991,                 0.6515,                0.58321,                 0.6059,                0.26598,                 1.7327,                 1.7588,                 2.3377,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.2915,                  1.252,                 1.6764,                0.57326,                0.45511,                0.45791,                0.18784,                  2.292,                 2.3556,                 3.3682,               0.001901,               0.001901,               0.001901
                      7,                 1.2816,                  1.257,                 1.6522,                0.59041,                0.63935,                0.61842,                 0.2795,                 1.6967,                 1.7607,                 2.2826,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2439,                 1.1679,                 1.6172,                0.80277,                0.70208,                0.77379,                0.44435,                  1.495,                  1.362,                 2.1116,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.2405,                 1.1689,                 1.6146,                0.78394,                0.65379,                0.74201,                0.38291,                 1.6761,                 1.3953,                 2.3002,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.2184,                 1.1244,                 1.6059,                 0.8067,                0.74412,                0.82019,                0.45885,                 1.5016,                 1.1734,                 2.0389,              0.0018218,              0.0018218,              0.0018218
